vaild_orgs,vaild_urls
台湾研究院,https://gifts.xmu.edu.cn/
体育教学部,https://tyjxb.xmu.edu.cn/
继续教育学院,https://nec.xmu.edu.cn/
网络教育,https://nec.xmu.edu.cn/
成人教育,https://nec.xmu.edu.cn/
职业技术教育,https://nec.xmu.edu.cn/
南海研究院,https://scsi.xmu.edu.cn/
社会与人类学院,https://ssa.xmu.edu.cn/
人类学与民族学系,https://anthro.xmu.edu.cn/
人类学研究中心,https://rlx.xmu.edu.cn/
一带一路研究院,https://brri.xmu.edu.cn/
物理科学与技术学院（工学部分）,https://cpst.xmu.edu.cn/
物理学系,https://phys.xmu.edu.cn/
天文学系,https://astro.xmu.edu.cn/
化学化工学院（工学部分）,https://chem.xmu.edu.cn/
化学工程与生物工程系,https://cbe.xmu.edu.cn/
化学生物学系,https://chembio.xmu.edu.cn/
固体表面物理化学国家重点实验室,https://pcss.xmu.edu.cn/
醇醚酯化工清洁生产国家工程实验室（厦门大学）,https://nel.xmu.edu.cn/
能源材料化学协同创新中心（厦门大学、复旦大学、中国科学技术大学、中国科学院大连化学研究所）,https://2011-ichem.xmu.edu.cn/
谱学分析与仪器教育部重点实验室,https://scai.xmu.edu.cn/
电化学技术教育部工程研究中心 ,https://ec.xmu.edu.cn/
教育部物理化学研究所,https://chem.xmu.edu.cn/info/1079/8478.htm
国家级化学实验教学示范中心,https://hxsyzx.xmu.edu.cn/
福建省化学生物学重点实验室,https://chembiolab.xmu.edu.cn/
厦门市分子纳米技术与分析科学重点实验室,https://chem.xmu.edu.cn/info/1079/8518.htm
理论化学研究中心,http://ctc.xmu.edu.cn/
信息学院（国家示范性软件学院）,https://informatics.xmu.edu.cn
人工智能系,https://cogsci.xmu.edu.cn/
计算机科学系,https://cs.xmu.edu.cn/
软件工程系,http://software.xmu.edu.cn/
信息与通信工程系,https://ce.xmu.edu.cn/
网络空间安全系,https://css.xmu.edu.cn/
水声通信与海洋信息技术教育部重点实验室,https://uac.xmu.edu.cn/
电子信息国家级实验教学示范中心,https://eietc.xmu.edu.cn/
福建省智慧城市感知与计算重点实验室,https://scsc.xmu.edu.cn/
材料学院,https://cm.xmu.edu.cn/
建筑与土木工程学院,https://archt.xmu.edu.cn/
建筑系,https://archt.xmu.edu.cn/
土木工程系,https://archt.xmu.edu.cn/
城市规划系,https://archt.xmu.edu.cn/
能源学院,https://energy.xmu.edu.cn/
福建省生物质清洁高值化技术工程研究中心,https://fjbiomass.xmu.edu.cn/
萨本栋微米纳米科学技术研究院,https://sbd.xmu.edu.cn/
醇醚酯化工清洁生产国家工程实验室,https://nel.xmu.edu.cn/
厦门大学生物仿生及软物质研究院,https://rwz.xmu.edu.cn/
航空航天学院,http://aerospace.xmu.edu.cn/
飞行器系,https://aerospace.xmu.edu.cn/
动力工程系,https://aerospace.xmu.edu.cn/
机电工程系,https://jdx.xmu.edu.cn/
仪器与电气系,https://iee.xmu.edu.cn/
自动化系,https://auto.xmu.edu.cn/
工程技术中心,https://gcjscenter.xmu.edu.cn/
航空航天教育培训中心,https://aerospace.xmu.edu.cn/
电子科学与技术学院（国家示范性微电子学院）,https://ese.xmu.edu.cn/
电子工程系,https://eed.xmu.edu.cn/
电子科学系,https://esci.xmu.edu.cn/
微电子与集成电路系,https://meic.xmu.edu.cn/
电磁声学研究院,https://ema.xmu.edu.cn/
产业技术研究院,http://itri.xmu.edu.cn/
人工智能研究院,https://iai.xmu.edu.cn/
医学与生命科学学部,https://yxsm.xmu.edu.cn/
生命科学学院,https://life.xmu.edu.cn/
细胞应激生物学国家重点实验室,https://sklcsb.xmu.edu.cn/
国家传染病诊断试剂与疫苗工程技术研究中心,http://nidvd.xmu.edu.cn/
生命科学学院实验教学中心,https://lifelab.xmu.edu.cn/
滨海湿地生态系统教育部重点实验室,https://wel.xmu.edu.cn/
分子诊断工程研究中心,https://md.xmu.edu.cn/
厦门大学实验动物中心,http://lac.xmu.edu.cn/
公共卫生学院,https://sph.xmu.edu.cn/
分子疫苗学和分子诊断学国家重点实验室,http://sklvd.xmu.edu.cn/
国家传染病诊断试剂与疫苗工程技术研究中心,https://nidvd.xmu.edu.cn
福建省分子影像诊疗工程技术研究中心,https://mitm.xmu.edu.cn
药学院,https://pharm.xmu.edu.cn/
医学院,https://med.xmu.edu.cn/
厦门大学医学虚拟仿真实验教学中心,https://mvl.xmu.edu.cn
健康医疗大数据国家研究院,https://nidshm.xmu.edu.cn
厦门大学神经科学研究所,https://neuro.xmu.edu.cn
厦门大学眼科研究所,https://eye.xmu.edu.cn/index.jsp
厦门大学附属翔安医院（直属）,https://xah.xmu.edu.cn
细胞应激生物学国家重点实验室,https://sklcsb.xmu.edu.cn/
分子疫苗学和分子诊断学国家重点实验室,http://sklvd.xmu.edu.cn/
国家传染病诊断试剂与疫苗工程技术研究中心,http://nidvd.xmu.edu.cn/
健康医疗大数据国家研究院,https://nidshm.xmu.edu.cn/
厦大实验动物中心,http://lac.xmu.edu.cn/
细胞生物学协同创新中心,https://iccshr.xmu.edu.cn/
海洋与地球学院,http://coe.xmu.edu.cn/
地质海洋学系,http://dgo.xmu.edu.cn/
近海海洋环境科学国家重点实验室（厦门大学）,https://mel.xmu.edu.cn/
海洋生物制备技术国家地方联合工程实验室,http://coe.xmu.edu.cn/ContentShow.aspx?Id=P29
水声通信与海洋信息技术教育部重点实验室,https://uac.xmu.edu.cn/
海洋环境科学实验教学中心,http://coeetc.xmu.edu.cn/
厦门大学海洋微型生物与地球圈层研究所,https://ime.xmu.edu.cn/
厦门大学海洋科学综合考察船,https://ships.xmu.edu.cn/
环境与生态学院,https://cee.xmu.edu.cn/
环境科学系,https://cee.xmu.edu.cn/
生态学系,https://cee.xmu.edu.cn/
环境与生态工程系,https://cee.xmu.edu.cn/
近海海洋环境科学国家重点实验室,https://mel.xmu.edu.cn/
滨海湿地生态系统教育部重点实验室,https://wel.xmu.edu.cn/
福建省海陆界面生态环境重点实验室,https://cees.xmu.edu.cn/
海洋与海岸带发展研究院,http://comi.xmu.edu.cn/
厦门海岸带可持续发展国际培训中心,http://icsd.xmu.edu.cn/
近海海洋环境科学国家重点实验室,https://mel.xmu.edu.cn/
科考船运行管理中心,https://ships.xmu.edu.cn/
