厦门大学产业技术研究院,cyjsyjy@xmu.edu.cn,0592-2189086,
厦门大学文科期刊中心,xdskc@xmu.edu.cn,0592-2189107,福建省厦门市厦门大学社科处（嘉庚主楼11层）
厦门大学管理学院-SCHOOL,smxmu@xmu.edu.cn,,
厦门大学公共事务学院,ggsw@xmu.edu.cn,0592-2183191,厦门大学成智楼（建南楼群东侧第一栋）
厦门大学公共政策研究院,spp@xmu.edu.cn,0592-2183191,
厦门大学社会与人类学院,ssa@xmu.edu.cn,2180133,厦门市思明区大学路182号厦门大学曾呈奎楼B栋二楼
厦门大学知识产权信息服务中心,tisc@xmu.edu.cn,0592-2182368,厦门市思明区思明南路422号
厦门大学科技处,std@xmu.edu.cn,2184282,
共青团厦门大学委员会,tw@xmu.edu.cn,0592-2186206,厦门市思明区厦门大学团委
厦门大学图书馆党委网站,xmutxd@xmu.edu.cn,0592-2182360,
厦门大学科技处,std@xmu.edu.cn,2184282,
厦门大学,xmutzb@xmu.edu.cn,,
转发厦门大学工会通知,xdfwh@xmu.edu.cn,0592-2180819,
厦门大学工会,xdgh@xmu.edu.cn,0592-2182733,厦门大学工会颂恩楼六楼
厦门大学翔安校区,xqnews@xmu.edu.cn,,福建省厦门市翔安区翔安南路厦门大学翔安校区
厦门大学幼儿园,xdyey@xmu.edu.cn,0592-2182521,厦门市厦门大学海滨路57号
厦门大学资产经营有限公司,zcjy@xmu.edu.cn,0592-2184536,厦门市思明区上李龙虎山路厦门大学国家大学科技园3层
厦门大学招生网,zs@xmu.edu.cn,0592-2180256,
厦门大学党委组织部,zzb@xmu.edu.cn,,
